semestre,cursos_matriculados,horas_trabajo_semanal,modalidad_trabajo,turno_clases,asistencia_pct,horas_estudio_semanal,promedio_ponderado,cursos_jalados_acumulados,entrega_trabajos_pct,participacion_clase,distancia_campus_km,internet_estable,apoyo_familiar,uso_tutoria,deuda_pension,promedio_t1,promedio_t2,cursos_en_riesgo_notas,pct_creditos_riesgo,situacion_academica
8,5,10,remoto,sabado_domingo,38.6,10.3,5.0,3,42.7,2,9.2,1,5,0,0,3.73,2.84,3,0.6,DESERCION_PROBABLE
7,4,0,presencial,sabado_domingo,87.9,18.6,5.0,5,89.7,5,12.3,1,3,1,0,5.75,3.58,2,0.5,EN_RIESGO
8,5,8,mixto,noche,75.1,5.4,5.0,3,92.0,5,2.3,1,4,0,0,2.66,6.69,4,0.8,RIESGO_ALTO
8,3,9,presencial,sabado_domingo,69.6,2.5,5.0,4,80.6,3,19.6,1,5,1,0,3.64,3.65,2,0.67,DESERCION_PROBABLE
6,4,10,sin_trabajo,noche,70.1,12.1,5.0,2,64.0,3,5.2,1,2,1,0,5.5,6.48,2,0.5,RIESGO_ALTO
2,3,9,remoto,sabado_domingo,84.0,14.3,5.0,2,86.7,5,21.6,1,1,0,0,6.02,12.85,1,0.33,EN_RIESGO
1,5,4,mixto,noche,74.2,13.7,5.0,1,81.0,1,14.2,0,2,0,3,5.97,3.54,2,0.4,RIESGO_ALTO
8,2,9,presencial,noche,81.1,8.1,5.0,1,87.2,4,4.0,1,3,0,0,5.24,4.2,1,0.5,RIESGO_ALTO
3,3,9,remoto,sabado_domingo,64.7,5.8,5.0,1,65.2,4,17.0,1,1,1,0,0.96,2.82,3,1.0,DESERCION_PROBABLE
1,4,4,remoto,noche,69.2,12.6,5.0,1,69.1,2,18.6,0,5,0,1,9.15,4.26,1,0.25,EN_RIESGO
8,5,10,sin_trabajo,noche,73.0,8.5,5.0,1,70.4,3,7.7,1,2,1,0,8.49,2.79,1,0.2,EN_RIESGO
3,3,8,mixto,noche,83.1,6.7,5.0,2,90.2,2,10.2,1,2,0,0,1.39,7.75,3,1.0,DESERCION_PROBABLE
7,4,8,presencial,noche,78.5,9.8,5.0,3,87.3,4,1.7,1,5,0,2,6.01,2.15,2,0.5,RIESGO_ALTO
1,3,10,sin_trabajo,noche,66.6,10.7,5.0,1,78.0,3,12.4,1,5,1,0,4.87,5.9,2,0.67,RIESGO_ALTO
4,4,8,mixto,noche,72.3,7.8,5.0,2,73.4,3,0.8,1,2,0,2,5.84,5.27,2,0.5,RIESGO_ALTO
6,5,8,remoto,noche,82.0,11.5,5.0,2,88.8,3,8.2,0,2,0,0,5.91,3.04,2,0.4,RIESGO_ALTO
9,2,12,mixto,noche,54.9,7.3,5.0,4,58.1,2,12.0,1,2,1,3,3.74,2.26,1,0.5,DESERCION_PROBABLE
4,5,4,presencial,sabado_domingo,74.9,16.8,5.0,2,77.1,3,26.3,1,4,0,0,1.97,5.64,4,0.8,RIESGO_ALTO
9,4,9,mixto,sabado_domingo,82.7,7.1,5.0,3,85.6,3,0.7,1,5,0,0,3.8,5.47,3,0.75,RIESGO_ALTO
4,3,9,mixto,sabado_domingo,69.0,8.6,5.0,1,71.8,3,3.6,1,3,0,0,2.87,7.39,2,0.67,RIESGO_ALTO
5,4,8,presencial,noche,75.3,10.1,5.0,2,78.8,3,8.5,1,3,1,1,2.27,3.57,3,0.75,RIESGO_ALTO
9,3,9,presencial,noche,59.7,7.6,5.0,3,58.6,2,1.6,1,1,0,2,4.92,4.87,2,0.67,DESERCION_PROBABLE
7,3,10,presencial,sabado_domingo,54.4,6.5,5.0,1,60.0,2,0.2,1,4,0,1,4.18,6.92,2,0.67,DESERCION_PROBABLE
8,3,0,sin_trabajo,noche,62.3,13.3,5.0,3,71.1,3,3.8,1,4,1,0,1.03,3.78,3,1.0,DESERCION_PROBABLE
7,3,10,presencial,noche,70.2,5.7,5.0,2,65.3,2,12.7,1,5,1,0,5.22,3.39,2,0.67,RIESGO_ALTO
2,5,8,mixto,sabado_domingo,55.9,13.9,5.0,0,54.8,2,7.9,1,4,1,1,4.25,7.36,3,0.6,RIESGO_ALTO
5,3,8,remoto,sabado_domingo,75.0,1.0,5.0,2,77.0,2,8.9,1,2,0,1,8.0,6.86,1,0.33,RIESGO_ALTO
7,5,9,sin_trabajo,sabado_domingo,78.5,10.6,5.0,2,87.1,4,5.9,0,2,1,2,2.99,4.31,4,0.8,DESERCION_PROBABLE
10,3,0,presencial,noche,88.2,10.1,5.0,1,86.4,4,9.8,1,2,0,0,7.5,7.39,1,0.33,EN_RIESGO
2,4,10,presencial,noche,67.2,12.3,5.0,0,79.7,3,12.4,1,5,0,0,6.26,4.52,2,0.5,RIESGO_ALTO
6,5,8,presencial,sabado_domingo,60.0,12.3,5.0,4,68.0,3,5.3,1,5,0,2,5.3,7.43,3,0.6,DESERCION_PROBABLE
1,3,0,mixto,noche,99.3,16.0,5.47,0,100.0,3,7.7,0,3,0,0,6.64,1.66,1,0.33,APROBADO_REGULAR
7,3,4,mixto,sabado_domingo,95.3,12.3,5.0,6,91.3,3,1.3,1,3,0,0,4.88,7.55,2,0.67,RIESGO_ALTO
1,4,8,presencial,sabado_domingo,76.1,14.2,5.0,1,83.7,2,13.0,0,4,0,0,5.24,4.66,2,0.5,RIESGO_ALTO
6,2,9,presencial,noche,71.0,2.7,5.0,1,68.2,3,4.9,1,1,0,1,2.88,7.36,1,0.5,DESERCION_PROBABLE
10,3,8,sin_trabajo,sabado_domingo,99.3,15.1,5.0,3,100.0,5,6.8,1,3,1,0,3.6,7.32,2,0.67,EN_RIESGO
5,2,12,presencial,noche,54.4,6.3,5.0,1,57.1,3,8.0,1,1,0,1,8.18,4.82,1,0.5,RIESGO_ALTO
1,4,4,presencial,sabado_domingo,85.4,7.8,5.0,1,76.9,2,1.8,1,1,0,3,8.99,3.44,1,0.25,RIESGO_ALTO
9,4,4,mixto,noche,83.7,13.1,6.11,3,86.5,3,2.7,1,1,1,0,4.18,5.87,2,0.5,EN_RIESGO
8,5,4,remoto,noche,77.9,12.2,5.0,1,76.5,2,2.3,1,3,0,1,7.4,5.63,2,0.4,RIESGO_ALTO
2,4,4,mixto,noche,93.0,12.9,5.0,2,100.0,4,13.0,1,5,0,0,0.0,6.06,4,1.0,RIESGO_ALTO
5,3,8,mixto,noche,87.4,3.4,5.0,2,90.3,3,9.2,0,5,1,0,2.25,4.46,2,0.67,RIESGO_ALTO
8,3,8,presencial,noche,87.2,9.8,5.0,3,100.0,4,3.7,1,1,0,0,6.78,7.8,1,0.33,EN_RIESGO
7,3,9,mixto,noche,78.7,12.9,5.0,0,72.1,4,7.3,1,5,1,0,4.77,2.22,2,0.67,EN_RIESGO
8,4,0,remoto,noche,99.0,19.7,5.0,5,100.0,5,0.7,0,3,0,0,6.19,6.29,2,0.5,EN_RIESGO
9,5,9,presencial,sabado_domingo,80.9,9.1,5.0,4,81.9,3,16.7,1,1,0,0,8.56,2.99,1,0.2,RIESGO_ALTO
9,5,9,mixto,noche,90.4,10.6,5.0,2,100.0,2,11.9,0,2,0,0,7.08,7.93,2,0.4,EN_RIESGO
5,4,10,mixto,noche,79.1,8.3,5.0,3,95.6,4,0.3,1,3,0,1,7.4,5.57,1,0.25,EN_RIESGO
1,2,10,presencial,sabado_domingo,51.7,14.2,5.0,0,42.9,3,2.0,1,1,0,0,8.77,0.0,0,0.0,RIESGO_ALTO
2,4,8,presencial,sabado_domingo,65.7,5.7,5.0,1,64.2,3,0.4,1,2,0,1,7.37,3.36,1,0.25,RIESGO_ALTO
10,2,8,mixto,noche,58.8,9.3,5.0,6,59.4,2,8.1,1,3,0,0,3.05,6.28,1,0.5,DESERCION_PROBABLE
1,4,8,remoto,noche,73.5,9.9,5.0,0,78.9,3,0.3,1,4,0,0,7.35,5.97,1,0.25,EN_RIESGO
3,3,9,presencial,noche,62.1,5.1,5.0,2,79.9,2,1.0,1,1,0,0,8.36,2.02,1,0.33,RIESGO_ALTO
9,5,8,remoto,sabado_domingo,73.1,4.4,5.0,5,68.4,2,12.2,1,5,0,0,5.96,5.4,2,0.4,RIESGO_ALTO
9,3,12,mixto,sabado_domingo,65.0,6.1,5.0,2,61.0,2,21.3,1,4,0,2,6.52,7.43,1,0.33,RIESGO_ALTO
10,2,4,remoto,noche,86.8,13.7,5.0,4,85.2,4,19.6,1,4,0,3,8.8,3.1,0,0.0,EN_RIESGO
6,4,10,presencial,sabado_domingo,36.9,6.1,5.0,4,29.8,1,1.0,1,3,0,0,2.69,4.25,3,0.75,DESERCION_PROBABLE
10,4,10,presencial,noche,70.8,6.3,5.0,4,59.1,3,15.6,1,2,0,3,3.34,4.78,3,0.75,DESERCION_PROBABLE
8,4,9,mixto,noche,67.3,10.7,5.0,6,82.4,3,15.3,0,5,0,1,7.97,4.3,1,0.25,RIESGO_ALTO
10,4,8,remoto,noche,84.6,5.2,5.0,5,88.4,4,26.5,1,4,1,1,5.9,5.44,2,0.5,RIESGO_ALTO
8,5,4,mixto,noche,85.1,8.6,5.0,1,96.2,2,14.9,1,5,0,0,2.92,5.85,4,0.8,RIESGO_ALTO
9,5,8,mixto,noche,72.5,8.1,5.0,3,76.4,2,7.6,0,2,0,0,1.72,1.43,4,0.8,DESERCION_PROBABLE
5,4,10,presencial,noche,67.5,11.2,5.0,1,79.6,1,80.0,1,5,0,2,1.66,3.41,3,0.75,DESERCION_PROBABLE
9,3,10,presencial,noche,99.7,10.1,6.7,2,100.0,4,19.2,1,1,1,2,6.96,6.25,1,0.33,EN_RIESGO
9,3,10,remoto,sabado_domingo,64.2,8.5,5.0,4,68.5,2,20.2,1,3,1,0,3.36,4.58,2,0.67,DESERCION_PROBABLE
2,5,12,presencial,noche,82.6,7.5,5.0,2,98.0,2,0.1,0,4,1,2,5.23,2.77,3,0.6,RIESGO_ALTO
9,3,8,sin_trabajo,sabado_domingo,64.1,4.2,5.0,5,67.9,2,5.3,1,1,1,1,4.35,3.08,2,0.67,DESERCION_PROBABLE
1,3,0,mixto,sabado_domingo,70.0,14.5,5.0,0,76.8,3,28.9,1,2,0,3,4.67,5.42,2,0.67,RIESGO_ALTO
2,4,8,presencial,noche,55.3,4.4,5.0,1,71.9,2,20.2,1,4,1,0,5.03,3.73,2,0.5,RIESGO_ALTO
10,4,8,remoto,noche,80.0,7.2,5.0,7,100.0,3,26.5,1,5,0,1,7.36,5.96,1,0.25,RIESGO_ALTO
4,2,4,mixto,noche,68.0,15.6,5.0,2,68.1,2,5.3,0,4,1,0,3.58,4.03,1,0.5,RIESGO_ALTO
10,3,8,presencial,noche,78.4,8.2,5.0,4,82.2,3,14.1,1,3,0,0,5.43,2.14,2,0.67,RIESGO_ALTO
2,2,8,remoto,noche,54.8,7.5,5.0,0,52.0,3,8.8,1,5,0,1,6.6,2.81,1,0.5,RIESGO_ALTO
4,4,10,presencial,noche,37.8,10.9,5.0,0,36.2,2,37.7,1,1,1,0,4.13,5.92,2,0.5,DESERCION_PROBABLE
1,4,12,mixto,noche,51.0,1.6,5.0,1,59.6,1,6.2,1,4,1,2,7.63,4.75,1,0.25,RIESGO_ALTO
8,3,9,presencial,noche,65.2,6.4,5.0,3,71.9,2,5.2,1,2,0,0,0.27,6.42,3,1.0,DESERCION_PROBABLE
1,5,9,sin_trabajo,noche,72.7,11.4,5.0,0,85.4,4,12.0,1,4,1,0,5.92,6.57,2,0.4,EN_RIESGO
2,4,8,mixto,noche,77.3,9.3,5.0,1,91.0,3,5.9,0,3,0,0,6.08,5.86,2,0.5,RIESGO_ALTO
3,5,8,sin_trabajo,sabado_domingo,78.2,6.7,5.0,0,88.2,4,29.3,0,5,0,0,1.25,5.1,4,0.8,RIESGO_ALTO
10,2,8,mixto,sabado_domingo,81.2,7.4,5.0,3,89.0,2,7.2,1,1,1,1,6.01,7.89,1,0.5,RIESGO_ALTO
9,4,8,presencial,noche,69.0,16.7,5.0,3,89.4,3,8.6,1,5,1,0,3.45,4.51,3,0.75,RIESGO_ALTO
6,3,8,sin_trabajo,noche,82.3,9.7,5.0,2,83.3,3,1.0,0,3,0,2,2.27,6.19,2,0.67,RIESGO_ALTO
2,4,8,remoto,sabado_domingo,66.1,11.1,5.0,1,80.6,2,4.6,1,1,0,0,4.57,7.58,2,0.5,RIESGO_ALTO
5,5,8,presencial,noche,56.5,9.9,5.0,4,67.9,4,5.0,1,3,1,3,3.51,3.94,3,0.6,DESERCION_PROBABLE
5,3,4,remoto,noche,69.6,12.1,5.0,1,77.5,2,20.4,0,2,0,1,5.45,5.92,2,0.67,RIESGO_ALTO
7,5,9,remoto,sabado_domingo,74.3,13.0,5.0,2,85.8,3,2.1,1,2,1,2,1.78,3.44,4,0.8,DESERCION_PROBABLE
5,5,9,mixto,noche,57.2,7.0,5.0,5,71.5,3,3.5,1,3,0,1,4.61,4.27,3,0.6,DESERCION_PROBABLE
10,5,0,sin_trabajo,sabado_domingo,82.5,14.2,5.0,2,84.4,4,2.2,1,2,1,1,6.12,4.65,2,0.4,EN_RIESGO
7,2,8,remoto,noche,84.2,11.5,5.0,1,100.0,4,56.3,1,4,0,0,6.77,5.91,1,0.5,EN_RIESGO
7,2,9,presencial,noche,80.0,10.5,5.0,3,83.3,4,3.9,1,2,0,0,3.78,4.73,1,0.5,RIESGO_ALTO
6,3,9,mixto,noche,75.7,5.3,5.0,3,78.4,4,6.9,1,3,0,0,5.2,6.11,2,0.67,RIESGO_ALTO
4,4,10,presencial,sabado_domingo,27.7,7.5,5.0,1,31.2,1,0.5,1,4,1,2,3.7,5.17,3,0.75,DESERCION_PROBABLE
5,2,12,presencial,sabado_domingo,56.0,1.3,5.0,1,59.7,3,3.9,1,4,0,0,8.02,4.96,1,0.5,RIESGO_ALTO
5,4,8,presencial,noche,69.5,4.3,5.0,1,79.8,4,1.2,1,1,1,1,2.38,8.87,3,0.75,RIESGO_ALTO
2,5,0,presencial,sabado_domingo,80.4,16.8,5.0,0,94.2,5,39.2,1,4,0,2,1.87,5.49,4,0.8,RIESGO_ALTO
3,2,8,remoto,sabado_domingo,58.9,9.5,5.0,0,64.5,1,5.7,1,5,1,0,2.08,3.7,2,1.0,DESERCION_PROBABLE
1,2,8,sin_trabajo,noche,79.1,9.7,5.0,0,84.3,5,17.5,1,3,1,3,4.14,8.98,1,0.5,EN_RIESGO
4,2,8,mixto,noche,99.4,16.7,5.0,1,100.0,4,14.2,1,1,1,1,5.35,0.8,1,0.5,EN_RIESGO
4,2,10,mixto,noche,48.6,5.8,5.0,0,57.6,2,12.7,1,2,1,1,4.88,6.56,1,0.5,RIESGO_ALTO
2,5,9,presencial,sabado_domingo,70.9,7.4,5.0,1,93.4,4,10.8,0,4,1,1,4.32,4.3,3,0.6,RIESGO_ALTO
4,5,8,presencial,sabado_domingo,67.7,8.5,5.0,2,73.4,3,22.7,1,4,1,0,8.19,6.52,1,0.2,EN_RIESGO
2,4,4,presencial,noche,97.3,12.0,5.0,1,100.0,3,2.2,1,2,0,0,3.57,3.37,3,0.75,RIESGO_ALTO
7,3,10,remoto,sabado_domingo,45.1,10.8,5.0,0,38.6,3,5.4,0,3,0,1,0.79,5.2,3,1.0,DESERCION_PROBABLE
4,2,8,presencial,noche,73.3,8.0,5.0,2,69.7,4,21.8,1,3,1,0,6.86,7.19,1,0.5,EN_RIESGO
9,2,12,remoto,noche,76.3,11.6,5.0,2,88.8,4,12.6,1,2,1,1,5.38,1.38,1,0.5,RIESGO_ALTO
4,4,12,remoto,noche,53.2,3.3,5.0,1,64.0,3,1.7,1,2,1,0,5.0,3.86,2,0.5,DESERCION_PROBABLE
6,2,10,remoto,noche,50.8,10.3,5.0,2,57.4,3,10.1,1,2,0,0,3.21,6.78,1,0.5,DESERCION_PROBABLE
10,5,10,remoto,sabado_domingo,65.4,4.1,5.0,3,67.1,4,52.3,0,2,0,2,4.55,5.48,3,0.6,DESERCION_PROBABLE
3,3,8,sin_trabajo,noche,77.6,13.1,5.0,0,82.9,2,11.6,1,4,1,0,7.1,4.77,1,0.33,EN_RIESGO
10,5,10,mixto,sabado_domingo,54.2,7.7,5.0,4,43.6,3,1.0,1,1,1,3,6.67,7.09,2,0.4,DESERCION_PROBABLE
8,3,8,sin_trabajo,noche,87.4,5.6,5.0,6,95.6,3,10.4,1,3,0,3,6.22,8.86,1,0.33,RIESGO_ALTO
3,5,8,mixto,sabado_domingo,64.7,8.5,5.0,2,87.7,3,13.1,1,2,1,1,4.21,2.51,3,0.6,DESERCION_PROBABLE
8,2,12,presencial,noche,61.1,3.6,5.0,7,53.0,2,27.3,1,5,1,1,4.19,6.7,1,0.5,DESERCION_PROBABLE
10,3,12,remoto,noche,66.3,7.8,5.0,4,74.9,3,5.1,1,1,0,2,6.31,6.38,1,0.33,RIESGO_ALTO
10,5,8,remoto,noche,67.9,9.2,5.0,5,57.9,2,26.8,1,2,0,0,6.86,3.08,2,0.4,DESERCION_PROBABLE
7,4,9,remoto,noche,55.8,8.0,5.0,4,64.7,2,43.7,1,4,0,0,3.94,7.05,3,0.75,DESERCION_PROBABLE
10,5,9,presencial,noche,60.2,8.7,5.0,5,64.0,1,2.7,1,1,0,2,4.52,5.85,3,0.6,DESERCION_PROBABLE
1,4,4,mixto,sabado_domingo,54.3,13.1,5.0,1,65.6,1,24.0,1,3,0,3,3.78,0.0,3,0.75,DESERCION_PROBABLE
3,5,8,mixto,noche,61.4,9.7,5.0,3,74.9,2,4.8,1,5,1,0,4.85,7.9,3,0.6,RIESGO_ALTO
7,5,4,mixto,sabado_domingo,67.7,13.7,5.0,2,68.2,3,80.0,0,5,0,1,5.01,6.72,3,0.6,RIESGO_ALTO
5,3,10,presencial,noche,52.4,5.5,5.0,3,48.0,2,2.7,0,4,0,0,8.64,5.81,1,0.33,RIESGO_ALTO
2,4,10,remoto,sabado_domingo,46.3,5.6,5.0,1,64.5,2,2.1,1,3,1,0,7.75,4.37,1,0.25,RIESGO_ALTO
1,3,9,sin_trabajo,sabado_domingo,60.3,11.1,5.0,1,57.1,3,14.6,1,2,0,0,4.03,4.47,2,0.67,DESERCION_PROBABLE
3,5,10,presencial,noche,75.5,4.5,5.0,1,94.4,3,19.8,1,2,0,0,5.26,3.56,3,0.6,RIESGO_ALTO
1,4,9,mixto,noche,64.2,8.8,5.0,1,60.6,3,5.2,1,2,0,1,4.66,2.21,2,0.5,DESERCION_PROBABLE
10,2,8,remoto,noche,71.6,8.5,5.0,6,77.6,2,7.1,1,2,1,1,4.5,4.78,1,0.5,DESERCION_PROBABLE
2,2,8,sin_trabajo,noche,64.3,14.2,5.0,2,61.9,3,50.6,1,4,1,1,5.41,5.94,1,0.5,RIESGO_ALTO
2,2,0,presencial,noche,81.8,14.1,5.0,0,86.9,3,24.2,1,5,0,0,2.46,2.51,2,1.0,RIESGO_ALTO
3,3,0,sin_trabajo,noche,84.9,13.8,5.0,0,91.9,4,2.2,1,1,0,0,6.62,4.82,1,0.33,EN_RIESGO
8,4,10,remoto,noche,83.3,4.6,5.0,4,97.0,2,50.3,1,5,1,0,6.74,2.91,2,0.5,RIESGO_ALTO
7,3,0,mixto,noche,65.2,17.2,5.0,3,65.0,3,25.7,1,1,0,0,2.87,3.42,2,0.67,RIESGO_ALTO
9,2,9,presencial,noche,72.4,10.2,5.0,6,80.5,2,11.9,1,4,1,1,5.23,5.36,1,0.5,RIESGO_ALTO
9,5,4,presencial,noche,86.4,11.9,5.0,2,97.0,4,7.3,1,4,0,0,6.24,5.99,2,0.4,EN_RIESGO
1,3,10,remoto,noche,47.4,1.4,5.0,0,61.3,2,24.6,1,1,1,1,10.51,4.39,0,0.0,RIESGO_ALTO
8,4,8,remoto,noche,46.9,8.7,5.0,5,36.8,2,0.5,0,3,0,0,4.23,6.01,2,0.5,DESERCION_PROBABLE
9,2,8,sin_trabajo,noche,71.3,3.8,5.0,4,63.5,3,5.1,1,1,1,0,7.65,4.69,1,0.5,RIESGO_ALTO
10,4,9,remoto,noche,56.3,7.7,5.0,4,63.1,2,19.9,0,3,1,0,3.01,7.01,3,0.75,DESERCION_PROBABLE
6,5,12,presencial,noche,79.2,5.7,5.0,1,89.2,4,10.7,1,3,0,0,5.5,8.2,2,0.4,RIESGO_ALTO
4,3,4,sin_trabajo,noche,80.0,9.0,5.0,2,80.5,4,10.8,1,2,1,1,5.96,3.73,1,0.33,EN_RIESGO
7,5,4,remoto,noche,82.6,13.5,5.0,6,90.2,4,1.0,1,1,0,1,4.24,1.26,3,0.6,DESERCION_PROBABLE
2,2,8,presencial,noche,74.2,12.2,5.0,1,68.1,2,0.2,0,3,0,1,3.81,4.96,1,0.5,RIESGO_ALTO
6,4,12,sin_trabajo,noche,59.6,5.4,5.0,3,77.5,2,37.9,0,2,0,0,2.97,1.63,3,0.75,DESERCION_PROBABLE
6,3,4,presencial,noche,79.5,8.7,5.0,3,76.2,3,24.0,1,4,1,0,4.25,4.6,2,0.67,RIESGO_ALTO
5,3,9,presencial,sabado_domingo,64.9,4.8,5.0,1,72.8,3,33.7,1,5,0,2,0.0,5.02,3,1.0,DESERCION_PROBABLE
10,2,8,remoto,noche,83.5,9.6,5.0,2,90.4,2,70.2,0,2,0,0,6.17,6.83,1,0.5,RIESGO_ALTO
8,3,4,mixto,noche,81.1,15.2,5.0,3,96.6,4,14.0,1,4,0,2,4.68,3.78,2,0.67,RIESGO_ALTO
5,5,8,mixto,noche,73.0,6.4,5.0,3,86.1,3,18.2,1,2,0,3,2.58,8.06,4,0.8,DESERCION_PROBABLE
5,3,8,presencial,noche,71.0,4.8,5.0,2,78.3,5,4.7,1,1,0,2,3.88,4.5,2,0.67,DESERCION_PROBABLE
9,4,9,presencial,sabado_domingo,64.3,8.0,5.0,4,66.4,1,57.9,1,4,0,0,6.0,4.15,2,0.5,DESERCION_PROBABLE
8,3,8,presencial,noche,66.6,10.1,5.0,3,79.8,3,18.0,1,2,1,2,5.15,3.98,2,0.67,RIESGO_ALTO
10,5,12,remoto,noche,28.4,12.9,5.0,2,20.0,2,13.1,1,3,1,1,1.65,5.41,4,0.8,DESERCION_PROBABLE
9,5,8,mixto,noche,80.9,9.9,5.0,3,80.4,5,12.2,1,5,0,0,7.61,6.71,2,0.4,EN_RIESGO
10,2,9,presencial,noche,95.5,3.1,5.0,6,100.0,5,48.4,1,3,0,0,7.68,7.08,1,0.5,RIESGO_ALTO
7,5,8,presencial,noche,61.9,5.4,5.0,2,79.7,3,66.8,1,3,0,0,5.59,3.99,2,0.4,RIESGO_ALTO
10,2,8,presencial,noche,78.9,6.9,5.0,2,87.7,2,31.1,1,3,1,1,4.74,1.58,1,0.5,RIESGO_ALTO
7,3,9,presencial,noche,65.3,16.2,5.0,1,73.1,3,44.4,1,3,1,1,6.41,7.38,1,0.33,EN_RIESGO
6,3,10,mixto,noche,60.5,10.4,5.0,1,65.2,2,45.1,1,3,0,1,2.19,3.53,2,0.67,DESERCION_PROBABLE
5,5,8,sin_trabajo,sabado_domingo,52.1,8.2,5.0,0,57.0,2,1.3,1,4,1,0,4.33,5.28,3,0.6,RIESGO_ALTO
2,5,10,mixto,sabado_domingo,60.6,12.3,5.0,1,60.1,2,23.6,0,5,1,3,3.68,4.56,3,0.6,DESERCION_PROBABLE
8,2,10,presencial,noche,50.1,4.7,5.0,5,52.9,2,14.6,1,1,0,2,2.7,6.52,2,1.0,DESERCION_PROBABLE
1,4,10,presencial,noche,57.3,2.0,5.0,0,64.2,2,14.0,1,2,0,0,6.91,6.1,1,0.25,RIESGO_ALTO
10,2,8,remoto,sabado_domingo,93.6,8.8,5.0,2,100.0,4,4.7,0,4,1,2,0.0,5.17,2,1.0,RIESGO_ALTO
1,2,8,remoto,noche,60.2,6.7,5.0,1,71.5,2,0.4,1,4,1,1,4.58,1.58,1,0.5,RIESGO_ALTO
2,2,10,presencial,noche,78.4,10.2,5.0,0,79.4,3,3.3,1,5,0,2,9.29,5.69,0,0.0,EN_RIESGO
4,2,10,remoto,sabado_domingo,54.5,7.4,5.0,1,58.9,2,14.1,1,5,0,2,3.49,4.95,1,0.5,DESERCION_PROBABLE
4,4,10,presencial,noche,81.8,5.5,5.0,3,75.8,2,8.4,0,4,0,0,4.18,3.52,2,0.5,RIESGO_ALTO
3,2,9,mixto,noche,87.0,6.3,5.0,1,89.1,4,24.7,0,5,0,1,3.26,6.04,1,0.5,RIESGO_ALTO
6,3,10,remoto,noche,96.1,4.4,5.0,4,84.5,4,1.1,1,3,1,0,4.7,1.36,2,0.67,RIESGO_ALTO
8,2,10,mixto,noche,36.7,12.4,5.0,4,36.2,1,10.3,1,2,1,0,2.67,4.74,2,1.0,DESERCION_PROBABLE
1,2,8,presencial,noche,61.8,13.4,5.0,0,66.7,2,0.2,1,2,0,1,7.17,5.42,1,0.5,RIESGO_ALTO
10,2,8,presencial,noche,65.8,9.9,5.0,3,80.6,1,12.7,0,1,0,0,4.63,3.97,1,0.5,RIESGO_ALTO
10,2,10,presencial,noche,48.0,7.0,5.0,2,43.3,2,5.1,1,2,0,2,4.56,2.84,1,0.5,DESERCION_PROBABLE
4,4,9,presencial,noche,63.8,4.0,5.0,1,71.4,4,4.5,0,4,1,0,3.67,3.62,3,0.75,DESERCION_PROBABLE
3,3,4,mixto,noche,82.4,16.0,5.0,2,89.5,2,1.6,1,1,1,3,5.11,3.66,2,0.67,RIESGO_ALTO
9,4,12,presencial,noche,68.0,8.5,5.0,1,70.4,3,5.9,0,2,1,1,7.09,2.84,1,0.25,RIESGO_ALTO
2,2,12,presencial,sabado_domingo,65.7,5.7,5.0,1,71.9,3,0.3,0,5,1,1,3.74,5.39,1,0.5,RIESGO_ALTO
10,4,12,remoto,noche,49.4,4.9,5.0,3,67.4,3,6.1,1,2,1,0,3.99,6.17,3,0.75,DESERCION_PROBABLE
1,2,8,remoto,noche,63.9,7.3,5.0,0,59.5,2,2.4,1,2,1,3,6.0,6.31,1,0.5,RIESGO_ALTO
10,4,8,mixto,noche,74.2,8.5,5.0,4,85.4,5,6.6,1,4,1,2,6.52,5.68,2,0.5,RIESGO_ALTO
5,4,8,mixto,noche,71.3,6.6,5.0,1,75.2,3,0.7,1,5,1,3,2.67,8.09,3,0.75,RIESGO_ALTO
10,5,8,remoto,noche,64.5,8.4,5.0,6,69.4,2,5.6,1,2,0,1,8.17,4.61,1,0.2,RIESGO_ALTO
2,3,10,presencial,sabado_domingo,54.1,9.0,5.0,0,73.4,1,5.2,1,3,0,1,8.48,3.58,1,0.33,RIESGO_ALTO
7,2,12,mixto,sabado_domingo,88.0,9.8,5.0,1,96.1,4,10.7,1,1,1,0,3.35,3.74,1,0.5,RIESGO_ALTO
6,5,8,presencial,sabado_domingo,50.9,6.8,5.0,1,58.0,3,6.4,1,1,0,3,3.63,7.45,3,0.6,DESERCION_PROBABLE
5,4,8,mixto,noche,75.6,7.2,5.0,2,78.7,2,20.2,0,2,1,0,5.68,3.84,2,0.5,RIESGO_ALTO
8,2,12,mixto,noche,59.9,8.1,5.0,2,63.3,3,4.6,1,4,0,1,5.33,10.21,1,0.5,RIESGO_ALTO
9,3,0,remoto,noche,92.3,16.0,5.0,3,83.3,4,9.3,1,1,0,2,4.5,4.34,2,0.67,RIESGO_ALTO
8,5,8,presencial,noche,71.7,3.2,5.0,3,76.8,3,0.3,1,5,0,0,6.68,9.07,2,0.4,RIESGO_ALTO
4,4,10,presencial,sabado_domingo,50.3,1.0,5.0,1,57.1,3,2.0,0,4,0,0,6.0,2.43,2,0.5,DESERCION_PROBABLE
5,5,12,sin_trabajo,sabado_domingo,73.2,5.0,5.0,2,76.8,3,17.5,1,5,0,1,5.37,4.17,3,0.6,DESERCION_PROBABLE
8,4,9,presencial,sabado_domingo,84.5,8.9,5.0,1,88.8,1,9.3,1,2,1,0,5.35,6.72,2,0.5,RIESGO_ALTO
